No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
167,0.249746,4.63056,3.61894,426.731,1.35072,4.79E-06,4.78E-06,4.78E-06,-4.101673333,-4.096426667,-4.091033333,-12.25107001,-4.096377778,13.0986,476.9412621,0.036347518,0.928191489,0.035460993,0.047971182,4.206995874,5.448599858,4.159024692,1.241603984,-16.94902,-19.61472,-20.57257,0.130620225,11.45518461,14.83593498
168,0.343828,7.12611,6.70427,530.837,1.44287,3.26E-06,3.26E-06,3.26E-06,-3.687036667,-3.687036667,-3.677926667,-12.63378336,-3.684,36.6623,193.586935,0.06504065,0.907520325,0.027439024,0.032633852,5.240560107,6.877344232,5.207926255,1.636784125,-14.94237,-19.18416,-20.48266,0.094920544,15.2429697,20.00380639
171,0.647246,6.02407,4.30902,1743.68,1.16306,6.80E-06,6.80E-06,6.80E-06,-3.886153333,-3.816613333,-3.83329,-11.89858795,-3.845352222,-7.87743,-93.21913646,0.240437158,0.75175644,0.007806401,0.06750303,10.78662039,16.08324551,10.71911736,5.29662512,-14.85259,-17.09473,-19.37504,0.158266888,25.29019575,37.70860682
172,0.64781,6.63275,4.17305,1682.41,1.1646,6.92E-06,6.88E-06,6.88E-06,-3.79133,-3.792946667,-3.76796,-11.88543947,-3.784078889,-7.92264,-90.27321272,0.268235294,0.727058824,0.004705882,0.068502292,11.17217134,16.19905422,11.10366905,5.02688288,-14.76597,-17.71418,-19.25469,0.16082241,26.22883792,38.03041994
173,0.645611,6.02407,4.25173,1803.7,1.11108,7.21E-06,7.23E-06,7.24E-06,-3.862866667,-3.854153333,-3.8274,-11.83727152,-3.84814,-7.94863,-57.59396377,0.242089772,0.750551876,0.007358352,0.07252919,11.43831753,16.88335527,11.36578834,5.44503774,-14.84634,-17.19417,-19.24228,0.162451166,25.61958879,37.81540583
174,0.648965,6.01939,4.2463,1815.54,1.07862,7.94E-06,7.93E-06,7.92E-06,-3.888803333,-3.944116667,-3.89447,-11.74485752,-3.90913,-8.2047,-106.8631405,0.198689956,0.792576419,0.008733624,0.078963244,11.76184749,17.29158579,11.68288425,5.5297383,-15.01246,-17.34623,-19.23389,0.171695189,25.57459051,37.59827921
175,0.635537,6.47839,4.21472,1934.52,1.06295,7.10E-06,7.12E-06,7.11E-06,-3.727973333,-3.79057,-3.728473333,-11.85400831,-3.749005555,-8.06778,-91.68175217,0.236663086,0.759040458,0.004296455,0.069979647,11.39788379,17.2790087,11.32790414,5.88112491,-14.73666,-17.01449,-19.10327,0.149950963,24.42315339,37.02510815
176,0.636267,6.44971,4.17826,1945.69,1.06153,7.33E-06,7.34E-06,7.30E-06,-3.767893333,-3.78425,-3.775876667,-11.82490023,-3.776006667,-7.97892,-113.6558156,0.243102163,0.749440716,0.007457122,0.073807083,11.49227346,17.39637739,11.41846638,5.90410393,-14.85028,-16.92443,-19.11196,0.157941039,24.59251245,37.22680539
178,0.769955,6.17717,5.82599,4155.96,0.749009,7.26E-06,7.23E-06,7.24E-06,-2.997276667,-3.024503333,-3.00163,-11.83588935,-3.007803333,-19.07,-88.90456158,0.276655443,0.712121212,0.011223345,0.0726185,17.79048086,28.01067318,17.71786236,10.22019232,-12.37696,-15.46845,-17.68782,0.109647564,26.86206521,42.29365893
179,0.501764,6.14711,4.52192,1198.43,0.992771,4.64E-06,4.62E-06,4.61E-06,-3.773283333,-3.635366667,-3.70447,-12.28511585,-3.704373333,-4.83103,-4.976917441,0.190738699,0.781330393,0.027930908,0.04627655,8.907713306,15.26979264,8.861436756,6.362079334,-14.3704,-15.81002,-17.95659,0.092613593,17.82707081,30.55954601
180,0.482528,4.65895,3.76976,621.117,1.30528,1.71E-05,1.71E-05,1.72E-05,-4.92939,-5.038323333,-5.00091,-10.97643209,-4.989541111,-9.86913,-184.4524183,0.166666667,0.734323432,0.099009901,0.170635841,9.024948699,11.36850974,8.854312858,2.343561041,-19.15126,-21.1422,-21.55758,0.448992015,23.74723783,29.91382151
181,0.405572,5.61731,4.58971,1025.69,1.17978,4.96E-06,4.94E-06,4.96E-06,-3.773656667,-3.86229,-3.756466667,-12.21612298,-3.797471111,-6.32587,190.3899249,0.136498516,0.833827893,0.029673591,0.049479806,7.266319572,10.64940201,7.216839766,3.383082438,-16.09665,-17.77866,-19.66028,0.117677571,17.28145083,25.32741856
182,0.609656,5.27949,3.94037,1010.4,1.75748,2.43E-06,2.43E-06,2.43E-06,-3.410186667,-3.38045,-3.361206667,-12.9276193,-3.383947778,-6.26398,26.75378073,0.25,0.743333333,0.006666667,0.023932558,6.727227081,11.49090595,6.703294523,4.763678869,-13.53483,-15.807,-18.17779,0.084789913,23.83368282,40.71077197
184,0.764947,14.75972,5.25015,2562.42,0.739806,5.08E-06,5.07E-06,5.08E-06,-3.22218,-3.223923333,-3.227596667,-12.1901993,-3.224566667,-5.42301,-59.55410096,0.44499179,0.500821018,0.054187192,0.049271492,16.49349367,31.52906603,16.44422218,15.03557236,-11.78196,-14.70223,-17.96823,0.073481538,24.59773869,47.02119168
