No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
108,0.43218,4.26472,4.09217,280.26501,1.1151,1.60E-05,1.60E-05,1.61E-05,-5.38773,-5.373636667,-5.4258,-11.04292184,-5.395722222,17.6921,249.418332,0.054158283,0.912977867,0.03286385,0.15813685,4.684947778,5.390570341,4.526810928,0.705622563,-20.35473,-21.66377,-20.12992,0.355477057,10.5313306,12.11750505
109,0.55676,13.0458,12.74558,1137.10999,1.1398,5.61E-06,5.64E-06,5.60E-06,-4.26064,-4.26697,-4.270763333,-12.08917889,-4.266124444,5.62105,-41.49901775,0.071428571,0.928571429,0,0.057161053,6.942547741,14.32805957,6.885386688,7.38551183,-16.70375,-14.19651,-15.55504,0.131338953,15.95189211,32.92158282
110,0.57778,13.04187,12.78481,1019.62,1.14329,4.39E-06,4.38E-06,4.38E-06,-3.742776667,-3.80176,-3.815956667,-12.33846183,-3.786831111,4.79174,-29.63708968,0.19047619,0.80952381,0,0.043829615,9.046465136,17.73597394,9.002635521,8.689508805,-14.60786,-14.82556,-15.61709,0.101015667,20.84970885,40.87672779
111,0.62757,8.45131,8.28768,1815.68994,0.70169,6.14E-06,6.08E-06,5.98E-06,-5.81014,-5.880536667,-5.770006667,-12.01215195,-5.820227778,-1.15458,139.0735271,0.195826186,0.788164666,0.016009148,0.057978374,11.51973661,22.31518299,11.46175823,10.79544638,-19.48074,-14.63128,-17.46913,0.082011734,16.29493051,31.56533596
112,0.81311,20.45325,18.69032,4020.01001,0.36178,1.44E-05,1.43E-05,1.42E-05,-5.07655,-5.23637,-5.026446667,-11.15525102,-5.113122222,-2.93576,48.24935466,0.36814346,0.568565401,0.063291139,0.139997206,17.85143524,48.64835682,17.71143803,30.79692158,-16.72434,-10.85965,-11.31034,0.102100672,13.01914216,35.4794931
113,0.76342,20.75693,20.3011,2260.3999,0.49548,4.46E-06,4.47E-06,4.49E-06,-4.347423333,-4.32966,-3.916843333,-12.31812215,-4.197975556,-5.79765,199.9254949,0.299050633,0.645833333,0.054852321,0.044440944,13.38971009,36.71488755,13.34526915,23.32517746,-11.91217,-11.863,-12.04589,0.044388869,13.37402033,36.67186587
114,0.73125,18.71554,18.4425,1884.75,0.6067,2.68E-06,2.69E-06,2.68E-06,-3.465183333,-3.408796667,-3.258076667,-12.82969376,-3.377352222,-4.44131,66.95367883,0.204431017,0.759315206,0.036253776,0.0270757,8.130243878,24.85176103,8.103168178,16.72151716,-10.91085,-11.11651,-11.58023,0.033114512,9.943567911,30.39455854
115,0.74376,19.03171,18.58824,2141.53003,0.54801,3.09E-06,3.10E-06,3.10E-06,-4.04369,-4.145196667,-3.923866667,-12.68733947,-4.037584444,-4.50811,184.9460095,0.222560976,0.742886179,0.034552846,0.031253791,9.237728948,28.13755499,9.206475157,18.89982604,-11.47652,-11.21206,-11.71795,0.034526763,10.20512608,31.08418724
116,0.72891,18.1577,17.98332,2353.77002,0.54907,3.41E-06,3.41E-06,3.36E-06,-4.248696667,-4.24955,-4.28207,-12.59468064,-4.260105556,-4.4985,190.5147796,0.179245283,0.784815813,0.035938904,0.034084084,9.713105148,27.42972411,9.679021064,17.71661896,-12.32734,-11.75981,-11.76538,0.037726283,10.7510401,30.36084335
117,0.82334,19.69774,18.6518,3449.02002,0.42877,0.000126945,0.000129565,0.000128466,-7.522553333,-7.5288,-7.607753333,-8.963480294,-7.553035556,-4.7698,-209.1930285,0.148148148,0.824289406,0.027562446,0.84969418,27.65665388,55.22758725,26.8069597,27.57093337,-24.48714,-13.20476,-12.61417,0.734432202,23.90499746,47.7359025
