No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
25,0.235310872,0.021344002,0.00735258,0.01672215,0.432116158,3.89E-06,3.89E-06,3.88E-06,-4.130236667,-4.109506667,-4.104843333,-12.4571014,0.572061192,0.126445676,0.058644134,0.104973937,0.866396712,0.165677031,0.039008951,4.087948147,5.771886607,4.048939196,1.68393846,-17.0903,-19.23965,-19.68907,0.134955085,14.14263589,19.96837723
26,0.435994546,0.041031358,0.021045469,0.118848317,0.251339013,9.62E-06,9.60E-06,9.57E-06,-5.697013333,-5.616496667,-5.585573333,-11.55374746,0.365284361,0.114522564,0.163345182,0.108026475,0.878506987,0.092897866,0.09413285,10.9314004,14.82660392,10.83726755,3.89520352,-18.44855,-18.82648,-20.35104,0.192954199,22.40726391,30.39168036
27,0.367845155,0.030387593,0.011925231,0.099041986,0.278584575,4.99E-06,4.96E-06,4.98E-06,-3.638666667,-3.56767,-3.635666667,-12.21008067,0.64027936,0.115807279,0.189595569,0.089513562,0.893155375,0.112010602,0.049743947,7.054899107,10.9804281,7.00515516,3.925528993,-15.61935,-16.73494,-18.31612,0.112534787,15.96016429,24.840814
29,0.622223294,0.056303085,0.037467379,0.149541359,0.262418186,1.07E-05,1.07E-05,1.07E-05,-5.16955,-5.150533333,-5.23576,-11.44526682,0.426268248,0.144333966,0.205110149,0.198869374,0.793367763,0.062670622,0.10554074,12.14271281,18.46247608,12.03717207,6.31976327,-18.34119,-16.97709,-19.90828,0.22545696,25.93935876,39.43968683
30,0.608041688,0.050425775,0.035161336,0.14845686,0.257527427,1.21E-05,1.21E-05,1.21E-05,-5.371943333,-5.276473333,-5.364573333,-11.32230511,0.40551352,0.143858426,0.196349961,0.192251083,0.803270698,0.047136178,0.120618782,12.24758148,18.45971269,12.1269627,6.21213121,-19.12771,-17.19246,-19.70541,0.253066338,25.69625177,38.72972192
31,0.621242887,0.055698916,0.03665451,0.142041151,0.271494008,1.14E-05,1.14E-05,1.13E-05,-5.340756667,-5.305616667,-5.254016667,-11.3818972,0.410625626,0.144023044,0.163254341,0.194303158,0.79289444,0.086972506,0.112808969,11.94598293,17.92120336,11.83317396,5.97522043,-18.90751,-17.20436,-20.00164,0.24896775,26.3646102,39.5518346
32,0.624844723,0.056044251,0.037449666,0.152982848,0.259437718,1.16E-05,1.16E-05,1.16E-05,-5.236486667,-5.343866667,-5.303083333,-11.36450546,0.411395318,0.14419782,0.166694774,0.218991114,0.773186904,0.062314538,0.114404001,12.50330398,18.84662122,12.38889998,6.34331724,-18.76727,-17.22138,-20.14287,0.241731625,26.41904095,39.82224687
33,0.543839378,0.048183674,0.023847232,0.14758861,0.241675886,6.35E-06,6.34E-06,6.35E-06,-3.884323333,-3.892046667,-3.900136667,-11.96705575,0.602392417,0.156392007,0.222463087,0.123849301,0.874507754,0.035719237,0.062104604,13.54202735,19.11332093,13.47992275,5.57129358,-14.8401,-18.59975,-20.53847,0.122622413,26.73805095,37.73828952
34,0.63235491,0.018480812,0.01500727,0.139908014,0.346874257,4.49E-06,4.49E-06,4.50E-06,-3.302856667,-3.3256,-3.29694,-12.31365786,0.681893843,0.071602082,0.063628731,0.309414828,0.691250896,0.018755522,0.04439224,8.920088608,13.19347923,8.875696368,4.273390622,-13.54833,-17.05539,-18.50937,0.124069039,24.93018647,36.87361323
35,0.416542419,0.030874447,0.0325602,0.065226393,0.446535109,2.15E-06,2.15E-06,2.16E-06,-3.38439,-3.387533333,-3.357586667,-13.05004272,0.672626977,0.164223095,0.182214391,0.137744431,0.862496016,0.026249713,0.021806706,5.160879808,8.040439006,5.139073102,2.879559198,-13.36911,-17.39579,-19.63372,0.077894395,18.43486171,28.72075822
36,0.731653819,0.035229682,0.021359054,0.298133934,0.217779926,4.02E-06,4.02E-06,4.02E-06,-2.917983333,-2.902306667,-2.943246667,-12.42422866,0.734642971,0.107305543,0.055123364,0.370007219,0.629771681,0.021080851,0.039818813,12.91204683,24.7700719,12.87222802,11.85802507,-11.40632,-14.45505,-17.4646,0.071199926,23.08800066,44.29130749
